route_id,direction_id,Direction
4767,1,Evening Departures
4767,0,Morning Departures
4766,1,Evening Departures
4766,0,Morning Departures
4765,1,Evening Departures
4765,0,Morning Departures
4736,1,Evening Departures
4736,0,Morning Departures
4734,1,Evening Departures
4734,0,Morning Departures
4733,1,Evening Departures
4733,0,Morning Departures
4732,1,Evening Departures
4732,0,Morning Departures
